ID,Link,Get link share
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/permalink.php?story_fbid=824992794543302&id=100010977675260
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/permalink.php?story_fbid=838882009821153&id=100010980854490
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/permalink.php?story_fbid=865289777181047&id=100011000982584
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/permalink.php?story_fbid=828638480847795&id=100011049516994
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/phuc.trantrung.16/posts/876555359391531
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/permalink.php?story_fbid=834922056883878&id=100010982744484
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/permalink.php?story_fbid=700710180369554&id=100012917355074
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/nnhungle/videos/2522631537781291/
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/permalink.php?story_fbid=669790156800746&id=100013093036542
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/permalink.php?story_fbid=847935915581845&id=100010963336575
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/ngoc.lethibich.5661/posts/681010279014827
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/permalink.php?story_fbid=671831739927717&id=100013026908226
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/permalink.php?story_fbid=845533815832276&id=100011269951083
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/permalink.php?story_fbid=799230927116735&id=100010895058082
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/trandaihaish/posts/882638198782976
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/hoa.dangthikim.1/posts/681171635658922
22,https://www.facebook.com/nnhungle/videos/2522631537781291,https://www.facebook.com/permalink.php?story_fbid=835854723458683&id=100011024889952
